"R0"	"t_max"	"I_max"	"Herd"	"Sinf"	"t_1%"
1.1	63.6	0.0134	0.0909	0.7618	119.46
1.2	80.5	0.0231	0.1667	0.6522	156.21
1.3	77.9	0.0367	0.2308	0.5555	153.45
1.4	71.5	0.0526	0.2857	0.4741	142.61
1.5	65.1	0.0697	0.3333	0.4064	131.24
1.6	59.5	0.0875	0.375	0.3498	121
1.7	54.6	0.1056	0.4118	0.3024	112.08
1.8	50.5	0.1235	0.4444	0.2625	104.38
1.9	46.9	0.1412	0.4737	0.2286	97.69
2	43.8	0.1585	0.5	0.1998	91.84
2.1	41.1	0.1753	0.5238	0.1751	86.69
2.2	38.7	0.1917	0.5455	0.1539	82.12
2.3	36.6	0.2075	0.5652	0.1356	78.03
2.4	34.7	0.2228	0.5833	0.1197	74.34
2.5	33	0.2376	0.6	0.1059	70.99
2.6	31.5	0.2518	0.6154	0.0939	67.94
2.7	30.1	0.2656	0.6296	0.0833	65.15
2.8	28.9	0.2788	0.6429	0.0741	62.57
2.9	27.7	0.2916	0.6552	0.066	60.19
3	26.6	0.3039	0.6667	0.0588	57.97
3.1	25.7	0.3158	0.6774	0.0525	55.91
3.2	24.8	0.3273	0.6875	0.0469	53.98
3.3	23.9	0.3384	0.697	0.0419	52.17
3.4	23.1	0.3491	0.7059	0.0375	50.47
3.5	22.4	0.3594	0.7143	0.0336	48.86
3.6	21.7	0.3694	0.7222	0.0302	47.35
3.7	21.1	0.379	0.7297	0.0271	45.92
3.8	20.5	0.3884	0.7368	0.0243	44.56
3.9	19.9	0.3974	0.7436	0.0218	43.27
4	19.4	0.4061	0.75	0.0196	42.04
4.1	18.9	0.4146	0.7561	0.0176	40.88
4.2	18.4	0.4228	0.7619	0.0159	39.76
4.3	18	0.4308	0.7674	0.0143	38.7
4.4	17.5	0.4385	0.7727	0.0129	37.69
4.5	17.1	0.446	0.7778	0.0116	36.72
4.6	16.7	0.4533	0.7826	0.0104	35.8
4.7	16.4	0.4604	0.7872	0.0094	34.91
4.8	16	0.4672	0.7917	0.0085	34.07
4.9	15.7	0.4739	0.7959	0.0077	33.25
5	15.3	0.4804	0.8	0.0069	32.48
5.1	15	0.4867	0.8039	0.0062	31.73
5.2	14.7	0.4929	0.8077	0.0056	31.01
5.3	14.5	0.4989	0.8113	0.0051	30.32
5.4	14.2	0.5047	0.8148	0.0046	29.66
5.5	13.9	0.5104	0.8182	0.0041	29.02
5.6	13.7	0.5159	0.8214	0.0037	28.41
5.7	13.4	0.5213	0.8246	0.0034	27.82
5.8	13.2	0.5266	0.8276	0.0031	27.26
5.9	13	0.5317	0.8305	0.0028	26.71
6	12.8	0.5367	0.8333	0.0025	26.18
6.1	12.6	0.5416	0.8361	0.0023	25.68
6.2	12.3	0.5464	0.8387	0.002	25.19
6.3	12.2	0.5511	0.8413	0.0018	24.72
6.4	12	0.5556	0.8438	0.0017	24.26
6.5	11.8	0.5601	0.8462	0.0015	23.82
6.6	11.6	0.5645	0.8485	0.0014	23.39
6.7	11.4	0.5687	0.8507	0.0012	22.98
6.8	11.3	0.5729	0.8529	0.0011	22.59
6.9	11.1	0.577	0.8551	0.001	22.2
7	11	0.581	0.8571	0.0009	21.83
7.1	10.8	0.5849	0.8592	0.0008	21.47
7.2	10.7	0.5888	0.8611	0.0007	21.12
7.3	10.5	0.5925	0.863	0.0007	20.78
7.4	10.4	0.5962	0.8649	0.0006	20.45
7.5	10.2	0.5998	0.8667	0.0005	20.13
